# RA DEC
3.050273300000000063e+02 -6.324339700000000164e+01
3.051899599999999850e+02 -4.676972899999999811e+01
3.054794499999999857e+02 -5.295421699999999987e+01
3.055260599999999727e+02 -6.339893000000000001e+01
3.058375800000000027e+02 -5.559063199999999938e+01
3.060268300000000181e+02 -4.785894600000000310e+01
3.062465300000000070e+02 -4.458806599999999776e+01
3.064836500000000115e+02 -5.129012999999999778e+01
3.066145399999999768e+02 -4.522681099999999788e+01
3.069264600000000200e+02 -4.267200400000000116e+01
3.077036299999999756e+02 -5.663616900000000243e+01
3.079669299999999907e+02 -4.061970000000000169e+01
3.080806900000000041e+02 -5.645804499999999848e+01
3.085193899999999871e+02 -4.309350599999999787e+01
3.085400799999999890e+02 -5.960170899999999961e+01
3.086586599999999976e+02 -6.531031900000000689e+01
3.088011500000000069e+02 -5.285188399999999831e+01
3.088438400000000001e+02 -4.821739199999999670e+01
3.089017799999999738e+02 -5.624022200000000282e+01
3.098236699999999928e+02 -5.738663400000000081e+01
3.098450900000000274e+02 -4.172729100000000102e+01
3.100572700000000168e+02 -5.742951800000000162e+01
3.102194000000000074e+02 -5.371155999999999864e+01
3.102483199999999783e+02 -4.486022799999999933e+01
3.106007500000000050e+02 -4.316833499999999901e+01
3.107931699999999751e+02 -5.623629999999999995e+01
3.108283900000000131e+02 -5.059383900000000267e+01
3.113673699999999940e+02 -6.044880100000000311e+01
3.122650600000000054e+02 -3.989048100000000119e+01
3.124204799999999977e+02 -6.173682199999999654e+01
3.125706000000000131e+02 -4.221731799999999879e+01
3.128000499999999988e+02 -6.293442999999999898e+01
3.139956700000000183e+02 -5.493676800000000071e+01
3.141866800000000239e+02 -4.409586999999999790e+01
3.142173999999999978e+02 -5.499373500000000092e+01
3.145878999999999905e+02 -5.614529199999999776e+01
3.147042000000000144e+02 -4.045002699999999862e+01
3.149321600000000103e+02 -5.030569200000000052e+01
3.150932700000000182e+02 -4.580513700000000199e+01
3.151500100000000089e+02 -5.713585599999999687e+01
3.153077200000000175e+02 -5.570381199999999922e+01
3.154579400000000078e+02 -6.139811000000000263e+01
3.165129699999999957e+02 -5.834671099999999910e+01
3.165206299999999828e+02 -5.874507400000000246e+01
3.165710799999999949e+02 -4.435366700000000151e+01
3.166539700000000153e+02 -6.304910199999999776e+01
3.166639700000000062e+02 -6.032992500000000291e+01
3.171911000000000058e+02 -4.476461599999999663e+01
3.173824599999999805e+02 -5.067651399999999740e+01
3.174488400000000183e+02 -4.643656899999999865e+01
3.175513799999999947e+02 -5.274918000000000262e+01
3.179225799999999822e+02 -5.365034899999999851e+01
3.182128500000000031e+02 -4.458074899999999730e+01
3.188010899999999879e+02 -4.699100700000000330e+01
3.197316500000000019e+02 -5.093248299999999773e+01
3.201370900000000006e+02 -4.027295399999999859e+01
3.201508000000000038e+02 -6.530715200000000209e+01
3.201597300000000246e+02 -4.747818199999999678e+01
3.202689899999999739e+02 -5.577815999999999974e+01
3.204272000000000276e+02 -6.358398300000000347e+01
3.207089399999999841e+02 -4.100580099999999817e+01
3.211461899999999901e+02 -6.141017899999999941e+01
3.212906100000000151e+02 -6.123256099999999691e+01
3.219932000000000016e+02 -6.472803500000000554e+01
3.227081299999999828e+02 -4.879955000000000354e+01
3.227232099999999946e+02 -6.263835499999999712e+01
3.227279500000000212e+02 -6.497669799999999896e+01
3.227659400000000005e+02 -4.032164399999999915e+01
3.229729899999999816e+02 -5.006379400000000146e+01
3.231698200000000156e+02 -4.382880800000000221e+01
3.235019500000000221e+02 -4.264382499999999965e+01
3.235287999999999897e+02 -4.115928499999999701e+01
3.239163500000000226e+02 -5.744091000000000236e+01
3.240353700000000003e+02 -6.275343300000000113e+01
3.241190500000000156e+02 -4.708183700000000016e+01
3.241202799999999797e+02 -5.739675299999999680e+01
3.242345900000000256e+02 -6.312443100000000129e+01
3.242392600000000016e+02 -5.531963999999999970e+01
3.244195700000000215e+02 -6.462408200000000136e+01
3.245052299999999832e+02 -6.013334400000000102e+01
3.249603200000000243e+02 -6.450946700000000078e+01
3.250329899999999839e+02 -5.351783600000000263e+01
3.251391100000000165e+02 -5.745757499999999851e+01
3.258481400000000008e+02 -5.516029799999999739e+01
3.259575699999999756e+02 -4.649980000000000047e+01
3.263639699999999948e+02 -4.380292599999999936e+01
3.264682099999999991e+02 -5.674755700000000047e+01
3.265310299999999870e+02 -4.878000099999999861e+01
3.266462399999999775e+02 -4.655003399999999658e+01
